,PM25
2022-01-01,8.791666666666666
2022-01-02,8.583333333333334
2022-01-03,5.958333333333333
2022-01-04,3.3333333333333335
2022-01-05,5.1577464847290475
2022-01-06,3.0833333333333335
2022-01-07,3.875
2022-01-08,3.9583333333333335
2022-01-09,5.0327464847290475
2022-01-10,3.1666666666666665
2022-01-11,1.5
2022-01-12,4.375
2022-01-13,1.8333333333333333
2022-01-14,5.916666666666667
2022-01-15,5.5
2022-01-16,11.458333333333334
2022-01-17,9.25
2022-01-18,7.791666666666667
2022-01-19,8.25
2022-01-20,6.907746484729048
2022-01-21,6.541666666666667
2022-01-22,4.958333333333333
2022-01-23,4.291666666666667
2022-01-24,18.75305169589476
2022-01-25,43.78591563349713
2022-01-26,43.78591563349713
2022-01-27,37.44659636124762
2022-01-28,5.25
2022-01-29,5.541666666666667
2022-01-30,4.583333333333333
2022-01-31,4.0
2022-02-01,2.3333333333333335
2022-02-02,3.375
2022-02-03,6.782746484729048
2022-02-04,4.375
2022-02-05,6.0744131513957145
2022-02-06,3.4166666666666665
2022-02-07,7.9494131513957145
2022-02-08,5.458333333333333
2022-02-09,7.333333333333333
2022-02-10,5.208333333333333
2022-02-11,3.375
2022-02-12,3.3333333333333335
2022-02-13,6.208333333333333
2022-02-14,6.5
2022-02-15,8.125
2022-02-16,5.333333333333333
2022-02-17,8.473239454187143
2022-02-18,4.708333333333333
2022-02-19,9.958333333333334
2022-02-20,6.208333333333333
2022-02-21,16.958333333333332
2022-02-22,9.708333333333334
2022-02-23,5.666666666666667
2022-02-24,8.291666666666666
2022-02-25,9.75
2022-02-26,7.541666666666667
2022-02-27,9.333333333333334
2022-02-28,5.125
2022-03-01,4.583333333333333
2022-03-02,8.166666666666666
2022-03-03,11.583333333333334
2022-03-04,12.75
2022-03-05,22.125
2022-03-06,16.833333333333332
2022-03-07,25.5
2022-03-08,13.833333333333334
2022-03-09,13.833333333333334
2022-03-10,10.991079818062381
2022-03-11,15.583333333333334
2022-03-12,7.625
2022-03-13,11.541666666666666
2022-03-14,10.208333333333334
2022-03-15,12.166666666666666
2022-03-16,12.333333333333334
2022-03-17,24.208333333333332
2022-03-18,48.916666666666664
2022-03-19,30.25
2022-03-20,10.583333333333334
2022-03-21,13.166666666666666
2022-03-22,16.541666666666668
2022-03-23,14.583333333333334
2022-03-24,15.958333333333334
2022-03-25,20.875
2022-03-26,20.625
2022-03-27,20.791666666666668
2022-03-28,33.458333333333336
2022-03-29,40.14882630279143
2022-03-30,17.24107981806238
2022-03-31,13.791666666666666
2022-04-01,20.75
2022-04-02,9.0
2022-04-03,8.625
2022-04-04,18.25
2022-04-05,24.25
2022-04-06,41.458333333333336
2022-04-07,46.291666666666664
2022-04-08,32.166666666666664
2022-04-09,10.541666666666666
2022-04-10,24.75
2022-04-11,20.458333333333332
2022-04-12,10.125
2022-04-13,30.157746484729046
2022-04-14,21.75
2022-04-15,32.416666666666664
2022-04-16,53.458333333333336
2022-04-17,19.541666666666668
2022-04-18,16.041666666666668
2022-04-19,17.083333333333332
2022-04-20,43.208333333333336
2022-04-21,32.083333333333336
2022-04-22,28.083333333333332
2022-04-23,28.375
2022-04-24,40.541666666666664
2022-04-25,27.458333333333332
2022-04-26,104.5
2022-04-27,74.70833333333333
2022-04-28,53.916666666666664
2022-04-29,23.75
2022-04-30,39.49107981806238
2022-05-01,18.625
2022-05-02,31.190492969458095
2022-05-03,29.333333333333332
2022-05-04,30.666666666666668
2022-05-05,48.61607981806238
2022-05-06,30.5
2022-05-07,17.041666666666668
2022-05-08,26.166666666666668
2022-05-09,67.625
2022-05-10,123.875
2022-05-11,73.04166666666667
2022-05-12,46.07441315139571
2022-05-13,87.24107981806237
2022-05-14,242.08333333333334
2022-05-15,331.5833333333333
2022-05-16,322.0833333333333
2022-05-17,341.2916666666667
2022-05-18,278.9583333333333
2022-05-19,171.75
2022-05-20,60.625
2022-05-21,32.75
2022-05-22,33.916666666666664
2022-05-23,49.75
2022-05-24,52.208333333333336
2022-05-25,47.416666666666664
2022-05-26,61.833333333333336
2022-05-27,65.16666666666667
2022-05-28,131.20833333333334
2022-05-29,127.0298122417076
2022-05-30,116.0
2022-05-31,220.04166666666666
2022-06-01,245.45833333333334
2022-06-02,174.45833333333334
2022-06-03,51.07441315139571
2022-06-04,54.416666666666664
2022-06-05,71.83333333333333
2022-06-06,43.083333333333336
2022-06-07,75.94941315139572
2022-06-08,57.083333333333336
2022-06-09,80.625
2022-06-10,358.2916666666667
2022-06-11,257.9583333333333
2022-06-12,128.75
2022-06-13,176.0
2022-06-14,74.79166666666667
2022-06-15,30.583333333333332
2022-06-16,23.041666666666668
2022-06-17,46.416666666666664
2022-06-18,48.875
2022-06-19,132.29166666666666
2022-06-20,259.1666666666667
2022-06-21,286.9166666666667
2022-06-22,285.6071596361248
2022-06-23,341.7916666666667
2022-06-24,278.7916666666667
2022-06-25,87.20833333333333
2022-06-26,57.041666666666664
2022-06-27,66.16666666666667
2022-06-28,59.208333333333336
2022-06-29,65.79166666666667
2022-06-30,88.25
2022-07-01,86.66666666666667
2022-07-02,91.375
