,Presion,Temperatura,HR,RapViento,O3,CO,PM25,PM10,SO2,DoY,DoW,Presion_forecast,Temperatura_forecast,HR_forecast,RapViento_forecast,DoY_forecast,DoW_forecast
2022-04-13,978.2841666666667,11.166954166666669,63.45288333333334,3.7718297916666668,10.214213485148163,0.2415396889067166,10.125,19.708333333333332,1.102192495689583,103.0,3.0,972.8640833333334,11.284979166666666,62.738425,0.9832571250000001,104.0,4.0
2022-04-14,972.8640833333334,11.284979166666666,62.738425,0.9832571250000001,3.2916666666666665,0.5491666666666667,30.157746484729046,49.74385444643391,1.0,104.0,4.0,973.5664583333333,10.350230833333333,70.30527500000001,3.0033350833333334,105.0,5.0
2022-04-15,973.5664583333333,10.350230833333333,70.30527500000001,3.0033350833333334,4.75,0.35375,21.75,26.958333333333332,1.0,105.0,5.0,981.0625833333334,9.486142083333332,65.99460833333333,0.8945513333333333,106.0,6.0
2022-04-16,981.0625833333334,9.486142083333332,65.99460833333333,0.8945513333333333,5.5,0.5258333333333333,32.416666666666664,43.333333333333336,1.0,106.0,6.0,972.618125,6.730141499999999,71.2812625,0.6192317166666667,107.0,7.0
2022-04-17,972.618125,6.730141499999999,71.2812625,0.6192317166666667,3.0416666666666665,0.9620833333333333,53.458333333333336,67.79166666666667,1.0,107.0,7.0,968.6980416666667,10.833437916666668,63.22160416666667,2.536934983333333,108.0,1.0
2022-04-18,968.6980416666667,10.833437916666668,63.22160416666667,2.536934983333333,7.0,0.33791666666666664,19.541666666666668,30.833333333333332,1.0,108.0,1.0,967.9342499999999,7.900181666666666,66.50527916666667,2.1934917916666667,109.0,2.0
2022-04-19,967.9342499999999,7.900181666666666,66.50527916666667,2.1934917916666667,8.208333333333334,0.3754166666666667,16.041666666666668,24.708333333333332,1.0,109.0,2.0,971.1977083333333,7.84946125,67.05001666666666,3.4372845833333336,110.0,3.0
2022-04-20,971.1977083333333,7.84946125,67.05001666666666,3.4372845833333336,8.557327025534114,0.45987302224004994,17.083333333333332,24.083333333333332,1.0969941537354158,110.0,3.0,959.61,7.358922083333333,80.05013333333333,1.3835060833333335,111.0,4.0
2022-04-21,959.61,7.358922083333333,80.05013333333333,1.3835060833333335,4.583333333333333,0.88125,43.208333333333336,57.166666666666664,1.5705112133614556,111.0,4.0,956.9851666666667,6.137229166666667,75.66702916666667,1.8526709583333334,112.0,5.0
2022-04-22,956.9851666666667,6.137229166666667,75.66702916666667,1.8526709583333334,6.125,0.735,32.083333333333336,38.541666666666664,1.6183333333333334,112.0,5.0,946.3509583333333,4.48352125,80.86092083333334,3.075905166666667,113.0,6.0
2022-04-23,946.3509583333333,4.48352125,80.86092083333334,3.075905166666667,9.875,0.5708333333333334,28.083333333333332,30.125,1.3949999999999998,113.0,6.0,944.876625,2.6567914166666666,88.5479625,1.6721909583333332,114.0,7.0
2022-04-24,944.876625,2.6567914166666666,88.5479625,1.6721909583333332,5.583333333333333,0.6770833333333334,28.375,30.958333333333332,1.2654166666666666,114.0,7.0,951.5446666666667,2.5881433333333335,89.55941666666666,1.3618262916666666,115.0,1.0
2022-04-25,951.5446666666667,2.5881433333333335,89.55941666666666,1.3618262916666666,4.958333333333333,0.9458333333333333,40.541666666666664,42.833333333333336,1.2283333333333333,115.0,1.0,951.0890416666666,2.137100166666667,83.35582083333334,1.8506166208333334,116.0,2.0
2022-04-26,951.0890416666666,2.137100166666667,83.35582083333334,1.8506166208333334,6.0,0.7608333333333333,27.458333333333332,33.25,1.0833333333333333,116.0,2.0,962.3701666666667,0.8562603083333333,76.30976249999999,1.1977609583333333,117.0,3.0
2022-04-27,962.3701666666667,0.8562603083333333,76.30976249999999,1.1977609583333333,3.4166666666666665,1.7395833333333333,104.5,125.625,1.30125,117.0,3.0,979.4169166666667,3.0860553750000004,62.954858333333334,2.64856425,118.0,4.0
2022-04-28,979.4169166666667,3.0860553750000004,62.954858333333334,2.64856425,4.333333333333333,1.3675,74.70833333333333,92.45833333333333,1.2275,118.0,4.0,980.1885985267318,3.5655038581441616,71.08163194874703,1.601336139860818,119.0,5.0
2022-04-29,980.1885985267318,3.5655038581441616,71.08163194874703,1.601336139860818,4.890660358867447,1.1480793778134333,53.916666666666664,66.41666666666667,1.0964137435343746,119.0,5.0,975.6607083333333,6.009709583333333,78.996875,1.1823785416666668,120.0,6.0
2022-04-30,975.6607083333333,6.009709583333333,78.996875,1.1823785416666668,6.223993692200781,0.33028968890671656,23.75,32.458333333333336,1.0150545811781249,120.0,6.0,975.7847499999999,7.721911250000001,80.7453875,1.4803565,121.0,7.0
2022-05-01,975.7847499999999,7.721911250000001,80.7453875,1.4803565,4.458333333333333,0.6941666666666667,39.49107981806238,46.333333333333336,1.0,121.0,7.0,977.604125,7.31109375,72.0916375,3.432806625,122.0,1.0
2022-05-02,977.604125,7.31109375,72.0916375,3.432806625,7.5,0.425,18.625,20.5,1.0029166666666667,122.0,1.0,969.2193485267317,9.019886191477495,78.32541389749407,2.4774322690274846,123.0,2.0
2022-05-03,969.2193485267317,9.019886191477495,78.32541389749407,2.4774322690274846,6.432327025534114,0.5434960444800998,31.190492969458095,32.8627088928678,1.075272905890624,123.0,2.0,968.2370833333333,7.335124166666667,76.15416666666667,2.5937876666666666,124.0,3.0
2022-05-04,968.2370833333333,7.335124166666667,76.15416666666667,2.5937876666666666,7.5,0.5108333333333334,29.333333333333332,31.291666666666668,1.0,124.0,3.0,973.2819166666667,7.215337083333334,60.88583333333333,2.853283625,125.0,4.0
2022-05-05,973.2819166666667,7.215337083333334,60.88583333333333,2.853283625,9.458333333333334,0.49374999999999997,30.666666666666668,33.5,1.0,125.0,4.0,973.071,7.7371425,72.82095416666667,1.05032925,126.0,5.0
2022-05-06,973.071,7.7371425,72.82095416666667,1.05032925,6.796981076602342,0.7102896889067166,48.61607981806238,52.53552111310057,1.0167212478447916,126.0,5.0,960.4677083333332,11.51561625,83.69726666666666,1.294434375,127.0,6.0
