FECHA (YYMMDD);HORA (HHMM);;
150826;0400;;
150826;0500;;
150826;0600;;
150826;0700;;
150826;0800;966;
150826;0900;967;
150826;1000;968;
150826;1100;968;
150826;1200;968;
150826;1300;968;
150826;1400;968;
150826;1500;969;
150826;1600;969;
150826;1700;970;
150826;1800;971;
150826;1900;972;
150826;2000;972;
150826;2100;972;
150826;2200;972;
150826;2300;972;
150827;0000;972;
150827;0100;972;
150827;0200;971;
150827;0300;969;
150827;0400;968;
150827;0500;967;
150827;0600;966;
150827;0700;965;
150827;0800;964;
150827;0900;963;
150827;1000;962;
150827;1100;961;
150827;1200;959;
150827;1300;958;
150827;1400;956;
150827;1500;955;
150827;1600;955;
150827;1700;955;
150827;1800;954;
150827;1900;954;
150827;2000;953;
150827;2100;953;
150827;2200;952;
150827;2300;952;
150828;0000;952;
150828;0100;952;
150828;0200;952;
150828;0300;952;
150828;0400;951;
150828;0500;951;
150828;0600;951;
150828;0700;951;
150828;0800;952;
150828;0900;952;
150828;1000;954;
150828;1100;953;
150828;1200;953;
150828;1300;952;
150828;1400;951;
150828;1500;952;
150828;1600;954;
150828;1700;954;
150828;1800;955;
150828;1900;955;
150828;2000;955;
150828;2100;955;
150828;2200;955;
150828;2300;955;
150829;0000;956;
150829;0100;956;
150829;0200;956;
150829;0300;956;
150829;0400;956;
150829;0500;956;
150829;0600;958;
150829;0700;958;
150829;0800;959;
150829;0900;960;
150829;1000;960;
150829;1100;961;
150829;1200;961;
150829;1300;962;
150829;1400;963;
150829;1500;966;
150829;1600;966;
150829;1700;966;
150829;1800;966;
150829;1900;966;
150829;2000;966;
150829;2100;967;
150829;2200;968;
150829;2300;969;
150830;0000;969;
150830;0100;970;
150830;0200;970;
150830;0300;970;
150830;0400;970;
150830;0500;971;
150830;0600;971;
150830;0700;972;
150830;0800;973;
150830;0900;973;
150830;1000;972;
150830;1100;972;
150830;1200;972;
150830;1300;972;
150830;1400;971;
150830;1500;972;
150830;1600;972;
150830;1700;973;
150830;1800;974;
150830;1900;976;
150830;2000;977;
150830;2100;978;
150830;2200;980;
150830;2300;981;
150831;0000;982;
150831;0100;983;
150831;0200;983;
150831;0300;984;
150831;0400;985;
150831;0500;986;
150831;0600;986;
150831;0700;987;
150831;0800;988;
150831;0900;989;
150831;1000;989;
150831;1100;989;
150831;1200;989;
150831;1300;988;
150831;1400;988;
150831;1500;988;
150831;1600;988;
150831;1700;988;
150831;1800;989;
150831;1900;989;
150831;2000;989;
150831;2100;990;
150831;2200;990;
150831;2300;990;
150901;0000;990;
150901;0100;990;
150901;0200;989;
150901;0300;989;
150901;0400;989;
150901;0500;988;
150901;0600;988;
150901;0700;988;
150901;0800;988;
150901;0900;988;
150901;1000;987;
150901;1100;987;
150901;1200;987;
150901;1300;985;
150901;1400;984;
150901;1500;984;
150901;1600;983;
150901;1700;984;
150901;1800;983;
150901;1900;983;
150901;2000;984;
150901;2100;984;
150901;2200;984;
150901;2300;984;
150902;0000;985;
150902;0100;985;
150902;0200;985;
150902;0300;985;
150902;0400;985;
150902;0500;986;
150902;0600;986;
150902;0700;986;
150902;0800;987;
150902;0900;987;
150902;1000;987;
150902;1100;987;
150902;1200;986;
150902;1300;985;
150902;1400;985;
150902;1500;985;
150902;1600;985;
150902;1700;985;
150902;1800;985;
150902;1900;985;
150902;2000;985;
150902;2100;985;
150902;2200;985;
150902;2300;985;
150903;0000;984;
150903;0100;983;
150903;0200;983;
150903;0300;983;
150903;0400;983;
150903;0500;983;
150903;0600;983;
150903;0700;983;
150903;0800;983;
150903;0900;984;
150903;1000;985;
150903;1100;988;
150903;1200;985;
150903;1300;983;
150903;1400;983;
150903;1500;983;
150903;1600;983;
150903;1700;984;
150903;1800;984;
150903;1900;985;
150903;2000;985;
150903;2100;985;
150903;2200;985;
150903;2300;985;
150904;0000;985;
150904;0100;985;
150904;0200;985;
150904;0300;984;
150904;0400;984;
150904;0500;984;
150904;0600;984;
150904;0700;984;
150904;0800;984;
150904;0900;984;
150904;1000;983;
150904;1100;983;
150904;1200;983;
150904;1300;982;
150904;1400;981;
150904;1500;981;
150904;1600;981;
150904;1700;981;
150904;1800;980;
150904;1900;980;
150904;2000;980;
150904;2100;979;
150904;2200;978;
150904;2300;978;
150905;0000;977;
150905;0100;976;
150905;0200;975;
150905;0300;974;
150905;0400;973;
150905;0500;973;
150905;0600;972;
150905;0700;971;
150905;0800;971;
150905;0900;970;
150905;1000;969;
150905;1100;969;
150905;1200;968;
150905;1300;967;
150905;1400;967;
150905;1500;966;
150905;1600;965;
150905;1700;966;
150905;1800;965;
150905;1900;965;
150905;2000;966;
150905;2100;966;
150905;2200;966;
150905;2300;966;
150906;0000;967;
150906;0100;968;
150906;0200;968;
150906;0300;969;
150906;0400;969;
150906;0500;969;
150906;0600;970;
150906;0700;970;
150906;0800;971;
150906;0900;971;
150906;1000;971;
150906;1100;972;
150906;1200;971;
150906;1300;971;
150906;1400;970;
150906;1500;970;
150906;1600;970;
150906;1700;969;
150906;1800;969;
150906;1900;969;
150906;2000;969;
150906;2100;969;
150906;2200;968;
150906;2300;968;
150907;0000;967;
150907;0100;967;
150907;0200;966;
150907;0300;966;
150907;0400;965;
150907;0500;966;
150907;0600;966;
150907;0700;966;
150907;0800;966;
150907;0900;966;
150907;1000;965;
150907;1100;965;
150907;1200;964;
150907;1300;963;
150907;1400;962;
150907;1500;962;
150907;1600;963;
150907;1700;963;
150907;1800;964;
150907;1900;965;
150907;2000;965;
150907;2100;965;
150907;2200;965;
150907;2300;965;
150908;0000;965;
150908;0100;966;
150908;0200;966;
150908;0300;965;
150908;0400;965;
150908;0500;966;
150908;0600;966;
150908;0700;967;
150908;0800;968;
150908;0900;969;
150908;1000;970;
150908;1100;970;
150908;1200;970;
150908;1300;970;
150908;1400;970;
150908;1500;970;
150908;1600;972;
150908;1700;976;
150908;1800;975;
150908;1900;977;
150908;2000;977;
150908;2100;978;
150908;2200;978;
150908;2300;979;
150909;0000;979;
150909;0100;979;
150909;0200;979;
150909;0300;979;
150909;0400;979;
150909;0500;978;
150909;0600;978;
150909;0700;978;
150909;0800;978;
150909;0900;977;
150909;1000;976;
150909;1100;972;
150909;1200;974;
150909;1300;975;
150909;1400;975;
150909;1500;970;
150909;1600;975;
150909;1700;977;
150909;1800;976;
150909;1900;977;
150909;2000;976;
150909;2100;974;
150909;2200;974;
150909;2300;974;
150910;0000;974;
150910;0100;975;
150910;0200;976;
150910;0300;977;
150910;0400;978;
150910;0500;981;
150910;0600;982;
150910;0700;985;
150910;0800;986;
150910;0900;980;
150910;1000;977;
150910;1100;977;
150910;1200;978;
150910;1300;978;
150910;1400;978;
150910;1500;978;
150910;1600;978;
150910;1700;979;
150910;1800;979;
150910;1900;979;
150910;2000;980;
150910;2100;979;
150910;2200;980;
150910;2300;979;
150911;0000;979;
150911;0100;979;
150911;0200;978;
150911;0300;978;
150911;0400;978;
150911;0500;978;
150911;0600;978;
150911;0700;978;
150911;0800;978;
150911;0900;979;
150911;1000;979;
150911;1100;979;
150911;1200;978;
150911;1300;978;
150911;1400;978;
150911;1500;978;
150911;1600;978;
150911;1700;978;
150911;1800;979;
150911;1900;980;
150911;2000;980;
150911;2100;980;
150911;2200;981;
150911;2300;981;
150912;0000;981;
150912;0100;981;
150912;0200;981;
150912;0300;981;
150912;0400;981;
150912;0500;981;
150912;0600;981;
150912;0700;982;
150912;0800;982;
150912;0900;982;
150912;1000;981;
150912;1100;980;
150912;1200;980;
150912;1300;979;
150912;1400;980;
150912;1500;981;
150912;1600;981;
150912;1700;981;
150912;1800;982;
150912;1900;981;
150912;2000;981;
150912;2100;981;
150912;2200;982;
150912;2300;982;
150913;0000;981;
150913;0100;981;
150913;0200;981;
150913;0300;981;
150913;0400;981;
150913;0500;981;
150913;0600;981;
150913;0700;981;
150913;0800;980;
150913;0900;980;
150913;1000;979;
150913;1100;978;
150913;1200;977;
150913;1300;976;
150913;1400;974;
150913;1500;973;
150913;1600;972;
150913;1700;971;
150913;1800;970;
150913;1900;970;
150913;2000;969;
150913;2100;968;
150913;2200;967;
150913;2300;967;
150914;0000;966;
150914;0100;966;
150914;0200;965;
150914;0300;965;
150914;0400;964;
150914;0500;964;
150914;0600;964;
150914;0700;964;
150914;0800;963;
150914;0900;964;
150914;1000;964;
150914;1100;964;
150914;1200;963;
150914;1300;962;
150914;1400;962;
150914;1500;962;
150914;1600;963;
150914;1700;963;
150914;1800;964;
150914;1900;965;
150914;2000;966;
150914;2100;967;
150914;2200;967;
150914;2300;968;
150915;0000;969;
150915;0100;969;
150915;0200;970;
150915;0300;970;
150915;0400;970;
150915;0500;971;
150915;0600;971;
150915;0700;972;
150915;0800;972;
150915;0900;972;
150915;1000;972;
150915;1100;972;
150915;1200;972;
150915;1300;972;
150915;1400;971;
150915;1500;971;
150915;1600;971;
150915;1700;973;
150915;1800;974;
150915;1900;977;
150915;2000;973;
150915;2100;972;
150915;2200;973;
150915;2300;972;
150916;0000;972;
150916;0100;972;
150916;0200;972;
150916;0300;972;
150916;0400;972;
150916;0500;972;
150916;0600;972;
150916;0700;973;
150916;0800;975;
150916;0900;977;
150916;1000;977;
150916;1100;977;
150916;1200;979;
150916;1300;976;
150916;1400;978;
150916;1500;973;
150916;1600;972;
150916;1700;971;
150916;1800;971;
150916;1900;972;
150916;2000;972;
150916;2100;972;
150916;2200;973;
150916;2300;973;
150917;0000;973;
150917;0100;973;
150917;0200;973;
150917;0300;973;
150917;0400;974;
150917;0500;974;
150917;0600;974;
150917;0700;975;
150917;0800;975;
150917;0900;976;
150917;1000;976;
150917;1100;977;
150917;1200;977;
150917;1300;977;
150917;1400;976;
150917;1500;977;
150917;1600;977;
150917;1700;977;
150917;1800;978;
150917;1900;978;
150917;2000;979;
150917;2100;979;
150917;2200;979;
150917;2300;979;
150918;0000;979;
150918;0100;979;
150918;0200;979;
150918;0300;979;
150918;0400;979;
150918;0500;979;
150918;0600;979;
150918;0700;979;
150918;0800;980;
150918;0900;980;
150918;1000;980;
150918;1100;980;
150918;1200;980;
150918;1300;979;
150918;1400;979;
150918;1500;979;
150918;1600;979;
150918;1700;980;
150918;1800;980;
150918;1900;981;
150918;2000;981;
150918;2100;981;
150918;2200;981;
150918;2300;981;
150919;0000;981;
