FECHA (YYMMDD);HORA (HHMM);;
131010;1700;13,2262;
131010;1800;11,6932;
131010;1900;9,80652;
131010;2000;8,14287;
131010;2100;5,89465;
131010;2200;5,74119;
131010;2300;5,1152;
131011;0000;4,62993;
131011;0100;3,99931;
131011;0200;3,54458;
131011;0300;3,63219;
131011;0400;2,72163;
131011;0500;1,85654;
131011;0600;3,37222;
131011;0700;6,0202;
131011;0800;7,83133;
131011;0900;9,9254;
131011;1000;12,1699;
131011;1100;14,0421;
131011;1200;15,039;
131011;1300;14,9912;
131011;1400;15,468;
131011;1500;15,8512;
131011;1600;15,3522;
131011;1700;14,7846;
131011;1800;13,2575;
131011;1900;11,2087;
131011;2000;10,2105;
131011;2100;9,19072;
131011;2200;8,42557;
131011;2300;7,86258;
131012;0000;6,95908;
131012;0100;6,77026;
131012;0200;6,49799;
131012;0300;6,18456;
131012;0400;4,97009;
131012;0500;4,27109;
131012;0600;4,2757;
131012;0700;6,97423;
131012;0800;9,86261;
131012;0900;12,4417;
131012;1000;14,3993;
131012;1100;15,5594;
131012;1200;16,671;
131012;1300;16,6733;
131012;1400;16,3167;
131012;1500;16,7232;
131012;1600;15,9741;
131012;1700;15,2591;
131012;1800;13,7318;
131012;1900;12,6449;
131012;2000;12,1442;
131012;2100;11,5627;
131012;2200;11,4901;
131012;2300;11,3738;
131013;0000;10,6079;
131013;0100;10,7914;
131013;0200;10,8071;
131013;0300;10,3077;
131013;0400;10,2233;
131013;0500;10,1937;
131013;0600;10,3809;
131013;0700;10,8286;
131013;0800;10,9212;
131013;0900;12,2443;
131013;1000;12,4847;
131013;1100;11,8601;
131013;1200;12,2396;
131013;1300;12,3291;
131013;1400;12,3802;
131013;1500;12,6299;
131013;1600;11,5331;
131013;1700;10,978;
131013;1800;10,2843;
131013;1900;9,58292;
131013;2000;9,47906;
131013;2100;9,50415;
131013;2200;9,24054;
131013;2300;8,51453;
131014;0000;8,13586;
131014;0100;7,81821;
131014;0200;7,33318;
131014;0300;7,32378;
131014;0400;7,38261;
131014;0500;7,36992;
131014;0600;7,88902;
131014;0700;9,6797;
131014;0800;11,1044;
131014;0900;11,8374;
131014;1000;12,3347;
131014;1100;13,7111;
131014;1200;13,5024;
131014;1300;13,4668;
131014;1400;13,4459;
131014;1500;12,4222;
131014;1600;11,1365;
131014;1700;10,7514;
131014;1800;10,2972;
131014;1900;10,6105;
131014;2000;10,3019;
131014;2100;10,4568;
131014;2200;11,258;
131014;2300;11,5684;
131015;0000;12,2883;
131015;0100;12,4347;
131015;0200;12,3579;
131015;0300;12,1984;
131015;0400;11,9793;
131015;0500;11,5075;
131015;0600;11,0734;
131015;0700;11,3481;
131015;0800;12,1149;
131015;0900;12,6766;
131015;1000;13,0461;
131015;1100;13,827;
131015;1200;13,732;
131015;1300;14,4462;
131015;1400;14,7066;
131015;1500;14,214;
131015;1600;13,8087;
131015;1700;12,9091;
131015;1800;12,3395;
131015;1900;12,1892;
131015;2000;11,8712;
131015;2100;11,5466;
131015;2200;11,3142;
131015;2300;11,2402;
131016;0000;11,1601;
131016;0100;10,7609;
131016;0200;10,4613;
131016;0300;10,3927;
131016;0400;9,18309;
131016;0500;10,6039;
131016;0600;10,0128;
131016;0700;11,6468;
131016;0800;12,7123;
