,PM25
2018-01-01,8.875
2018-01-02,11.75
2018-01-03,15.449413151395715
2018-01-04,9.833333333333334
2018-01-05,9.916666666666666
2018-01-06,7.125
2018-01-07,6.0
2018-01-08,6.041666666666667
2018-01-09,6.833333333333333
2018-01-10,5.041666666666667
2018-01-11,13.181572787520475
2018-01-12,10.208333333333334
2018-01-13,7.291666666666667
2018-01-14,8.708333333333334
2018-01-15,7.083333333333333
2018-01-16,11.023826302791429
2018-01-17,7.25
2018-01-18,19.095305211165712
2018-01-19,43.78591563349713
2018-01-20,43.78591563349713
2018-01-21,41.42875599737238
2018-01-22,10.083333333333334
2018-01-23,8.625
2018-01-24,7.125
2018-01-25,6.333333333333333
2018-01-26,6.375
2018-01-27,6.25
2018-01-28,4.416666666666667
2018-01-29,8.666666666666666
2018-01-30,6.791666666666667
2018-01-31,5.083333333333333
2018-02-01,4.125
2018-02-02,7.333333333333333
2018-02-03,3.7916666666666665
2018-02-04,5.333333333333333
2018-02-05,8.041666666666666
2018-02-06,7.875
2018-02-07,14.991079818062381
2018-02-08,16.0
2018-02-09,16.375
2018-02-10,16.333333333333332
2018-02-11,4.833333333333333
2018-02-12,3.8333333333333335
2018-02-13,7.666666666666667
2018-02-14,4.291666666666667
2018-02-15,5.0
2018-02-16,6.208333333333333
2018-02-17,6.958333333333333
2018-02-18,10.583333333333334
2018-02-19,10.083333333333334
2018-02-20,13.25
2018-02-21,7.666666666666667
2018-02-22,10.666666666666666
2018-02-23,9.699413151395715
2018-02-24,3.875
2018-02-25,6.041666666666667
2018-02-26,8.416666666666666
2018-02-27,3.8333333333333335
2018-02-28,4.875
2018-03-01,6.25
2018-03-02,15.583333333333334
2018-03-03,18.541666666666668
2018-03-04,7.0
2018-03-05,6.541666666666667
2018-03-06,11.5
2018-03-07,13.273826302791429
2018-03-08,17.74107981806238
2018-03-09,12.958333333333334
2018-03-10,13.375
2018-03-11,15.458333333333334
2018-03-12,18.541666666666668
2018-03-13,21.083333333333332
2018-03-14,19.5
2018-03-15,31.541666666666668
2018-03-16,28.166666666666668
2018-03-17,11.0
2018-03-18,29.458333333333332
2018-03-19,94.95833333333333
2018-03-20,71.45833333333333
2018-03-21,20.375
2018-03-22,33.791666666666664
2018-03-23,33.875
2018-03-24,15.75
2018-03-25,21.666666666666668
2018-03-26,24.833333333333332
2018-03-27,20.041666666666668
2018-03-28,23.34823945418714
2018-03-29,11.708333333333334
2018-03-30,18.0
2018-03-31,12.625
2018-04-01,16.708333333333332
2018-04-02,35.083333333333336
2018-04-03,28.824413151395714
2018-04-04,25.666666666666668
2018-04-05,39.25
2018-04-06,41.375
2018-04-07,53.708333333333336
2018-04-08,59.333333333333336
2018-04-09,30.125
2018-04-10,34.583333333333336
2018-04-11,40.875
2018-04-12,66.625
2018-04-13,30.416666666666668
2018-04-14,29.833333333333332
2018-04-15,28.125
2018-04-16,14.5
2018-04-17,18.125
2018-04-18,32.541666666666664
2018-04-19,29.416666666666668
2018-04-20,30.5
2018-04-21,27.0
2018-04-22,25.291666666666668
2018-04-23,37.875
2018-04-24,82.48215963612476
2018-04-25,38.541666666666664
2018-04-26,44.625
2018-04-27,42.958333333333336
2018-04-28,49.291666666666664
2018-04-29,122.20833333333333
2018-04-30,61.916666666666664
2018-05-01,76.70833333333333
2018-05-02,27.208333333333332
2018-05-03,75.95833333333333
2018-05-04,131.4404929694581
2018-05-05,216.625
2018-05-06,151.41666666666666
2018-05-07,26.125
2018-05-08,26.907746484729046
2018-05-09,36.26795781674857
2018-05-10,52.333333333333336
2018-05-11,108.625
2018-05-12,95.20833333333333
2018-05-13,61.458333333333336
2018-05-14,104.91666666666667
2018-05-15,68.58333333333333
2018-05-16,97.0
2018-05-17,120.375
2018-05-18,55.833333333333336
2018-05-19,35.583333333333336
2018-05-20,19.125
2018-05-21,31.625
2018-05-22,36.125
2018-05-23,38.458333333333336
2018-05-24,77.70833333333333
2018-05-25,26.75
2018-05-26,109.66666666666667
2018-05-27,48.25
2018-05-28,57.25
2018-05-29,46.833333333333336
2018-05-30,36.083333333333336
2018-05-31,210.79166666666666
2018-06-01,405.25
2018-06-02,320.7916666666667
2018-06-03,169.25
2018-06-04,127.29166666666667
2018-06-05,92.58333333333333
2018-06-06,129.52382630279143
2018-06-07,67.08333333333333
2018-06-08,171.5
2018-06-09,306.0833333333333
2018-06-10,210.33333333333334
2018-06-11,349.5416666666667
2018-06-12,260.7916666666667
2018-06-13,239.33333333333334
2018-06-14,90.41666666666667
2018-06-15,75.66666666666667
2018-06-16,107.08333333333333
2018-06-17,85.29166666666667
2018-06-18,38.166666666666664
2018-06-19,51.583333333333336
2018-06-20,39.38098593891619
2018-06-21,63.75598593891619
2018-06-22,84.0
2018-06-23,35.708333333333336
2018-06-24,63.041666666666664
2018-06-25,57.416666666666664
2018-06-26,65.875
2018-06-27,59.375
2018-06-28,53.166666666666664
2018-06-29,99.54166666666667
2018-06-30,90.5
2018-07-01,206.91666666666666
2018-07-02,369.75
2018-07-03,224.04166666666666
2018-07-04,125.58333333333333
2018-07-05,198.40774648472905
2018-07-06,286.4583333333333
2018-07-07,264.1666666666667
2018-07-08,372.6666666666667
2018-07-09,118.95833333333333
2018-07-10,82.625
2018-07-11,59.657746484729046
2018-07-12,78.0
2018-07-13,77.75
2018-07-14,95.79166666666667
2018-07-15,58.0
2018-07-16,109.83333333333333
2018-07-17,44.916666666666664
2018-07-18,51.72323945418714
2018-07-19,88.875
2018-07-20,65.0
2018-07-21,53.125
2018-07-22,36.583333333333336
