FECHA (YYMMDD);HORA (HHMM);;
131010;1800;36,2797;
131010;1900;43,689;
131010;2000;51,5129;
131010;2100;57,48;
131010;2200;62,5574;
131010;2300;68,218;
131011;0000;68,5916;
131011;0100;70,3009;
131011;0200;72,2485;
131011;0300;71,4879;
131011;0400;73,5061;
131011;0500;76,1261;
131011;0600;71,3309;
131011;0700;63,5095;
131011;0800;55,5801;
131011;0900;45,8488;
131011;1000;34,0925;
131011;1100;27,7135;
131011;1200;24,2433;
131011;1300;26,3449;
131011;1400;27,6187;
131011;1500;26,3742;
131011;1600;27,992;
131011;1700;27,5138;
131011;1800;31,1996;
131011;1900;39,4166;
131011;2000;45,1445;
131011;2100;48,9637;
131011;2200;52,6132;
131011;2300;56,5268;
131012;0000;61,7652;
131012;0100;65,0356;
131012;0200;66,5912;
131012;0300;67,6179;
131012;0400;71,6371;
131012;0500;74,9199;
131012;0600;75,4192;
131012;0700;66,9624;
131012;0800;58,4991;
131012;0900;51,5339;
131012;1000;47,3805;
131012;1100;44,6793;
131012;1200;41,3622;
131012;1300;40,5408;
131012;1400;40,4117;
131012;1500;38,8116;
131012;1600;41,5244;
131012;1700;46,1058;
131012;1800;53,1814;
131012;1900;58,5166;
131012;2000;60,4917;
131012;2100;62,4966;
131012;2200;61,956;
131012;2300;61,667;
131013;0000;67,0789;
131013;0100;67,6478;
131013;0200;67,6501;
131013;0300;71,2211;
131013;0400;68,9502;
131013;0500;67,8612;
131013;0600;65,4659;
131013;0700;62,6436;
131013;0800;64,0586;
131013;0900;58,2167;
131013;1000;60,5691;
131013;1100;64,0215;
131013;1200;59,676;
131013;1300;60,6736;
131013;1400;62,1969;
131013;1500;60,3865;
131013;1600;65,1139;
131013;1700;67,6133;
131013;1800;75,822;
131013;1900;82,7518;
131013;2000;75,0238;
131013;2100;65,4845;
131013;2200;60,933;
131013;2300;63,3304;
131014;0000;64,7837;
131014;0100;64,6611;
131014;0200;68,2332;
131014;0300;67,0841;
131014;0400;66,1655;
131014;0500;63,6078;
131014;0600;53,9398;
131014;0700;45,2189;
131014;0800;44,9175;
131014;0900;50,009;
131014;1000;53,715;
131014;1100;51,7079;
131014;1200;54,8338;
131014;1300;56,7488;
131014;1400;58,9266;
131014;1500;70,0382;
131014;1600;80,7731;
131014;1700;83,3595;
131014;1800;87,0254;
131014;1900;83,4818;
131014;2000;87,7433;
131014;2100;88,3287;
131014;2200;81,3744;
131014;2300;78,3916;
131015;0000;71,4545;
131015;0100;69,2013;
131015;0200;68,1443;
131015;0300;67,196;
131015;0400;69,3849;
131015;0500;74,0452;
131015;0600;79,7151;
131015;0700;81,4708;
131015;0800;77,0817;
131015;0900;74,5419;
131015;1000;75,0453;
131015;1100;72,3813;
131015;1200;73,2795;
131015;1300;70,1046;
131015;1400;68,2571;
131015;1500;69,7172;
131015;1600;71,3673;
131015;1700;76,9231;
131015;1800;80,3389;
131015;1900;79,6609;
131015;2000;81,5148;
131015;2100;82,8805;
131015;2200;83,3079;
131015;2300;82,4408;
131016;0000;82,5236;
131016;0100;85,8416;
131016;0200;88,7155;
131016;0300;88,0536;
131016;0400;86,1443;
131016;0500;88,2612;
131016;0600;86,114;
131016;0700;83,1224;
131016;0800;74,7179;
131016;0900;62,0662;
131016;1000;55,475;
131016;1100;50,6104;
131016;1200;38,9119;
131016;1300;42,3992;
131016;1400;41,0405;
131016;1500;40,0909;
131016;1600;39,8418;
131016;1700;;
131016;1800;;
131016;1900;;
131016;2000;;
131016;2100;;
131016;2200;;
131016;2300;;
131017;0000;;
131017;0100;;
131017;0200;;
131017;0300;;
131017;0400;;
131017;0500;;
131017;0600;;
131017;0700;;
131017;0800;;
131017;0900;;
131017;1000;;
131017;1100;;
131017;1200;;
131017;1300;;
131017;1400;;
131017;1500;;
131017;1600;;
131017;1700;;
131017;1800;;
131017;1900;;
131017;2000;;
131017;2100;;
131017;2200;;
131017;2300;;
131018;0000;;
131018;0100;;
131018;0200;;
131018;0300;;
131018;0400;;
131018;0500;;
131018;0600;;
131018;0700;;
131018;0800;;
131018;0900;;
131018;1000;;
131018;1100;;
131018;1200;;
131018;1300;;
131018;1400;;
131018;1500;;
131018;1600;;
131018;1700;;
131018;1800;;
131018;1900;;
131018;2000;;
131018;2100;;
131018;2200;;
131018;2300;;
131019;0000;;
131019;0100;;
131019;0200;;
131019;0300;;
131019;0400;;
131019;0500;;
131019;0600;;
131019;0700;;
131019;0800;;
131019;0900;;
131019;1000;;
131019;1100;;
131019;1200;;
131019;1300;;
131019;1400;;
131019;1500;;
131019;1600;;
131019;1700;;
131019;1800;;
131019;1900;;
131019;2000;;
131019;2100;;
131019;2200;;
131019;2300;;
131020;0000;;
131020;0100;;
131020;0200;;
131020;0300;;
131020;0400;;
131020;0500;;
131020;0600;;
131020;0700;;
131020;0800;;
131020;0900;;
131020;1000;;
131020;1100;;
131020;1200;;
131020;1300;;
131020;1400;;
131020;1500;;
131020;1600;;
131020;1700;;
131020;1800;;
131020;1900;;
131020;2000;;
131020;2100;;
131020;2200;;
131020;2300;;
131021;0000;;
131021;0100;;
131021;0200;;
131021;0300;;
131021;0400;;
131021;0500;;
131021;0600;;
131021;0700;;
131021;0800;;
131021;0900;;
131021;1000;;
131021;1100;;
131021;1200;;
131021;1300;;
131021;1400;;
131021;1500;;
131021;1600;;
131021;1700;;
131021;1800;;
131021;1900;;
131021;2000;;
131021;2100;;
131021;2200;;
131021;2300;;
131022;0000;;
131022;0100;;
131022;0200;;
131022;0300;;
131022;0400;;
131022;0500;;
131022;0600;;
131022;0700;;
131022;0800;;
131022;0900;;
131022;1000;;
131022;1100;;
131022;1200;;
131022;1300;;
131022;1400;;
131022;1500;;
131022;1600;;
131022;1700;;
131022;1800;;
131022;1900;;
131022;2000;;
131022;2100;;
131022;2200;;
131022;2300;;
131023;0000;;
131023;0100;;
131023;0200;;
131023;0300;;
131023;0400;;
131023;0500;;
131023;0600;;
131023;0700;;
131023;0800;;
131023;0900;;
131023;1000;;
131023;1100;;
131023;1200;;
131023;1300;;
131023;1400;;
131023;1500;;
131023;1600;;
131023;1700;;
131023;1800;;
131023;1900;;
131023;2000;;
131023;2100;;
131023;2200;;
131023;2300;;
131024;0000;;
131024;0100;;
131024;0200;;
131024;0300;;
131024;0400;;
131024;0500;;
131024;0600;;
131024;0700;;
131024;0800;;
131024;0900;;
131024;1000;;
131024;1100;;
131024;1200;;
131024;1300;;
131024;1400;;
131024;1500;;
131024;1600;;
