FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130901;0100;184;;;
130901;0200;151;;;
130901;0300;75;;;
130901;0400;121;;;
130901;0500;151;;;
130901;0600;159;;;
130901;0700;147;;;
130901;0800;134;;;
130901;0900;78;;;
130901;1000;61;;;
130901;1100;88;;;
130901;1200;88;;;
130901;1300;72;;;
130901;1400;72;;;
130901;1500;70;;;
130901;1600;84;;;
130901;1700;70;;;
130901;1800;87;;;
130901;1900;90;;;
130901;2000;85;;;
130901;2100;93;;;
130901;2200;136;;;
130901;2300;87;;;
130902;0000;100;;;
130902;0100;109;;;
130902;0200;39;;;
130902;0300;29;;;
130902;0400;13;;;
130902;0500;23;;;
130902;0600;32;;;
130902;0700;39;;;
130902;0800;46;;;
130902;0900;57;;;
130902;1000;43;;;
130902;1100;47;;;
130902;1200;54;;;
130902;1300;28;;;
130902;1400;67;;;
130902;1500;67;;;
130902;1600;75;;;
130902;1700;96;;;
130902;1800;218;;;
130902;1900;307;;;
130902;2000;224;;;
130902;2100;188;;;
130902;2200;194;;;
130902;2300;273;;;
130903;0000;311;;;
130903;0100;153;;;
130903;0200;87;;;
130903;0300;51;;;
130903;0400;32;;;
130903;0500;33;;;
130903;0600;47;;;
130903;0700;117;;;
130903;0800;147;;;
130903;0900;120;;;
130903;1000;81;;;
130903;1100;57;;;
130903;1200;65;;;
130903;1300;67;;;
130903;1400;69;;;
130903;1500;68;;;
130903;1600;49;;;
130903;1700;39;;;
130903;1800;37;;;
130903;1900;64;;;
130903;2000;64;;;
130903;2100;73;;;
130903;2200;68;;;
130903;2300;34;;;
130904;0000;29;;;
130904;0100;16;;;
130904;0200;32;;;
130904;0300;64;;;
130904;0400;38;;;
130904;0500;27;;;
130904;0600;42;;;
130904;0700;110;;;
130904;0800;123;;;
130904;0900;148;;;
130904;1000;199;;;
130904;1100;186;;;
130904;1200;191;;;
130904;1300;108;;;
130904;1400;99;;;
130904;1500;117;;;
130904;1600;109;;;
130904;1700;90;;;
130904;1800;102;;;
130904;1900;117;;;
130904;2000;144;;;
130904;2100;156;;;
130904;2200;164;;;
130904;2300;292;;;
130905;0000;216;;;
130905;0100;229;;;
130905;0200;169;;;
130905;0300;88;;;
130905;0400;57;;;
130905;0500;87;;;
130905;0600;130;;;
130905;0700;158;;;
130905;0800;132;;;
130905;0900;125;;;
130905;1000;145;;;
130905;1100;177;;;
130905;1200;141;;;
130905;1300;56;;;
130905;1400;37;;;
130905;1500;31;;;
130905;1600;40;;;
130905;1700;41;;;
130905;1800;55;;;
130905;1900;44;;;
130905;2000;58;;;
130905;2100;50;;;
130905;2200;98;;;
130905;2300;131;;;
130906;0000;48;;;
130906;0100;90;;;
130906;0200;66;;;
130906;0300;57;;;
130906;0400;42;;;
130906;0500;67;;;
130906;0600;85;;;
130906;0700;108;;;
130906;0800;82;;;
130906;0900;77;;;
130906;1000;92;;;
130906;1100;66;;;
130906;1200;100;;;
130906;1300;113;;;
130906;1400;139;;;
130906;1500;107;;;
130906;1600;129;;;
130906;1700;148;;;
130906;1800;209;;;
130906;1900;204;;;
130906;2000;208;;;
130906;2100;183;;;
130906;2200;184;;;
130906;2300;260;;;
130907;0000;206;;;
130907;0100;222;;;
130907;0200;196;;;
130907;0300;105;;;
130907;0400;37;;;
130907;0500;22;;;
130907;0600;26;;;
130907;0700;68;;;
130907;0800;49;;;
130907;0900;43;;;
130907;1000;51;;;
130907;1100;50;;;
130907;1200;67;;;
130907;1300;52;;;
130907;1400;59;;;
130907;1500;41;;;
130907;1600;30;;;
130907;1700;55;;;
130907;1800;55;;;
130907;1900;112;;;
130907;2000;62;;;
130907;2100;63;;;
130907;2200;33;;;
130907;2300;56;;;
130908;0000;73;;;
130908;0100;67;;;
130908;0200;65;;;
130908;0300;40;;;
130908;0400;16;;;
130908;0500;30;;;
130908;0600;46;;;
130908;0700;93;;;
130908;0800;128;;;
130908;0900;106;;;
130908;1000;181;;;
130908;1100;99;;;
130908;1200;57;;;
130908;1300;53;;;
130908;1400;58;;;
130908;1500;36;;;
130908;1600;38;;;
130908;1700;58;;;
130908;1800;108;;;
130908;1900;70;;;
130908;2000;75;;;
130908;2100;82;;;
130908;2200;69;;;
130908;2300;69;;;
130909;0000;94;;;
130909;0100;147;;;
130909;0200;103;;;
130909;0300;66;;;
130909;0400;73;;;
130909;0500;138;;;
130909;0600;213;;;
130909;0700;130;;;
130909;0800;212;;;
130909;0900;204;;;
130909;1000;207;;;
130909;1100;177;;;
130909;1200;213;;;
130909;1300;160;;;
130909;1400;195;;;
