FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130909;1200;19,2001;;;
130909;1300;21,1001;;;
130909;1400;23,6001;;;
130909;1500;22,5001;;;
130909;1600;21,8;;;
130909;1700;21,5001;;;
130909;1800;20,0001;;;
130909;1900;19,6001;;;
130909;2000;19,5001;;;
130909;2100;17,8;;;
130909;2200;14,8;;;
130909;2300;12,7;;;
130910;0000;11,4;;;
130910;0100;10,1;;;
130910;0200;8,80002;;;
130910;0300;6,80002;;;
130910;0400;4,30002;;;
130910;0500;2,70001;;;
130910;0600;1,5;;;
130910;0700;2,30001;;;
130910;0800;6,10001;;;
130910;0900;8,90002;;;
130910;1000;10,6;;;
130910;1100;13,1;;;
130910;1200;15,3;;;
130910;1300;12,4;;;
130910;1400;4,50002;;;
130910;1500;1;;;
130910;1600;1;;;
130910;1700;1;;;
130910;1800;1,4;;;
130910;1900;4,50002;;;
130910;2000;5,20001;;;
130910;2100;8,50003;;;
130910;2200;13,6;;;
130910;2300;16,1001;;;
130911;0000;17,3;;;
130911;0100;18,7001;;;
130911;0200;19,3;;;
130911;0300;18,5001;;;
130911;0400;16,7001;;;
130911;0500;15;;;
130911;0600;14,4;;;
130911;0700;15,7;;;
130911;0800;20,2001;;;
130911;0900;24,8;;;
130911;1000;22,1001;;;
130911;1100;19,3;;;
130911;1200;19,8;;;
130911;1300;20,6001;;;
130911;1400;19,3;;;
130911;1500;17,2001;;;
130911;1600;15,7;;;
130911;1700;14,6;;;
130911;1800;15,4;;;
130911;1900;16,8;;;
130911;2000;18,1001;;;
130911;2100;18,7001;;;
130911;2200;18,1001;;;
130911;2300;18,4001;;;
130912;0000;19,5001;;;
130912;0100;17,5001;;;
130912;0200;15,7;;;
130912;0300;14,6;;;
130912;0400;13,6;;;
130912;0500;12,2;;;
130912;0600;12,2;;;
130912;0700;14,7;;;
130912;0800;21,9001;;;
130912;0900;26,0001;;;
130912;1000;21,6001;;;
130912;1100;20,1001;;;
130912;1200;22,4001;;;
130912;1300;22,5001;;;
130912;1400;20,2001;;;
130912;1500;17,3;;;
130912;1600;15,5;;;
130912;1700;14,6;;;
130912;1800;14,7;;;
130912;1900;15,1;;;
130912;2000;16,1001;;;
130912;2100;17,0001;;;
130912;2200;18,6001;;;
130912;2300;21,0001;;;
130913;0000;25,3;;;
130913;0100;26,7001;;;
130913;0200;25,1001;;;
130913;0300;23,9001;;;
130913;0400;23,3;;;
130913;0500;22,5001;;;
130913;0600;21,1001;;;
130913;0700;22,3;;;
130913;0800;28,4001;;;
130913;0900;34,7001;;;
130913;1000;29,8;;;
130913;1100;25,7001;;;
130913;1200;27,8;;;
130913;1300;28,6001;;;
130913;1400;26,3;;;
130913;1500;22,6001;;;
130913;1600;19,9001;;;
130913;1700;18,1001;;;
130913;1800;17,8;;;
130913;1900;18,6001;;;
130913;2000;22,1001;;;
130913;2100;26,9001;;;
130913;2200;34,7001;;;
130913;2300;42,1001;;;
130914;0000;44,8001;;;
130914;0100;41,6001;;;
130914;0200;39,1001;;;
130914;0300;40,5001;;;
130914;0400;38,9001;;;
130914;0500;34,9001;;;
130914;0600;31,2001;;;
130914;0700;30,7001;;;
130914;0800;34,1001;;;
130914;0900;39,7001;;;
130914;1000;38,0001;;;
130914;1100;35,4001;;;
130914;1200;35,9001;;;
130914;1300;35,0001;;;
130914;1400;32,1001;;;
130914;1500;29,2001;;;
130914;1600;27,0001;;;
130914;1700;25,3;;;
130914;1800;23,7001;;;
130914;1900;24,1001;;;
130914;2000;29,5001;;;
130914;2100;34,8001;;;
130914;2200;39,3001;;;
130914;2300;42,5001;;;
130915;0000;45,4001;;;
130915;0100;49,5001;;;
130915;0200;50,1001;;;
130915;0300;47,8001;;;
130915;0400;46,3001;;;
130915;0500;43,7001;;;
130915;0600;40,3001;;;
130915;0700;38,4001;;;
130915;0800;36,6001;;;
130915;0900;37,4001;;;
130915;1000;37,9001;;;
130915;1100;36,3001;;;
130915;1200;35,3001;;;
130915;1300;34,7001;;;
130915;1400;33,7001;;;
130915;1500;31,9001;;;
