FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
140110;1300;9,2917;;;
140110;1400;9,46671;;;
140110;1500;9,51671;;;
140110;1600;8,9917;;;
140110;1700;9,02502;;;
140110;1800;9,20003;;;
140110;1900;10,5667;;;
140110;2000;10,5667;;;
140110;2100;9,90836;;;
140110;2200;10,4167;;;
140110;2300;8,45836;;;
140111;0000;7,38335;;;
140111;0100;7,38335;;;
140111;0200;6,73335;;;
140111;0300;6,60001;;;
140111;0400;6,92502;;;
140111;0500;8,01671;;;
140111;0600;7,98335;;;
140111;0700;8,9167;;;
140111;0800;9,43336;;;
140111;0900;10,125;;;
140111;1000;11,2917;;;
140111;1100;12,25;;;
140111;1200;11,4833;;;
140111;1300;11,5417;;;
140111;1400;11,95;;;
140111;1500;12,1833;;;
140111;1600;12,4;;;
140111;1700;12,875;;;
140111;1800;11,5417;;;
140111;1900;8,98337;;;
140111;2000;8,4917;;;
140111;2100;5,70834;;;
140111;2200;5,58334;;;
140111;2300;5,67502;;;
140112;0000;4,35001;;;
140112;0100;3,94168;;;
140112;0200;4,43334;;;
140112;0300;3,65001;;;
140112;0400;4,96668;;;
140112;0500;5,11668;;;
140112;0600;6,17502;;;
140112;0700;6,40835;;;
140112;0800;5,95001;;;
140112;0900;6,65835;;;
140112;1000;7,32501;;;
140112;1100;10,9;;;
140112;1200;9,70836;;;
140112;1300;9,67503;;;
140112;1400;11,2833;;;
140112;1500;11,175;;;
140112;1600;10,9917;;;
140112;1700;10;;;
140112;1800;9,32503;;;
140112;1900;7,94169;;;
140112;2000;6,95001;;;
140112;2100;5,74168;;;
140112;2200;5,35001;;;
140112;2300;6,32501;;;
140113;0000;6,40002;;;
140113;0100;6,65002;;;
140113;0200;6,71668;;;
140113;0300;6,45834;;;
140113;0400;6,45834;;;
140113;0500;7,48335;;;
140113;0600;7,40835;;;
140113;0700;8,14171;;;
140113;0800;7,92502;;;
140113;0900;8,37503;;;
140113;1000;8,25003;;;
140113;1100;8,58336;;;
140113;1200;8,26671;;;
140113;1300;8,09171;;;
140113;1400;7,91669;;;
140113;1500;8,00836;;;
140113;1600;;;;
140113;1700;8,85004;;;
140113;1800;8,37503;;;
140113;1900;7,84168;;;
140113;2000;8,12503;;;
140113;2100;8,38336;;;
140113;2200;8,8167;;;
140113;2300;8,70836;;;
140114;0000;7,79169;;;
140114;0100;7,75835;;;
140114;0200;9,88336;;;
140114;0300;10,725;;;
140114;0400;9,6917;;;
140114;0500;9,96671;;;
140114;0600;11,3833;;;
140114;0700;11,5833;;;
140114;0800;11,6;;;
140114;0900;11,5083;;;
140114;1000;11,6333;;;
140114;1100;10,8667;;;
140114;1200;10,6333;;;
140114;1300;12,4917;;;
140114;1400;13,325;;;
140114;1500;13,7833;;;
140114;1600;13,475;;;
140114;1700;13,1417;;;
140114;1800;12,0583;;;
140114;1900;11,6083;;;
140114;2000;11,2667;;;
140114;2100;11,1;;;
140114;2200;11;;;
140114;2300;11,225;;;
140115;0000;11,2417;;;
140115;0100;11,3583;;;
140115;0200;11;;;
140115;0300;11,1167;;;
140115;0400;9,50836;;;
140115;0500;10,3583;;;
140115;0600;10,35;;;
140115;0700;11,35;;;
140115;0800;11,5167;;;
140115;0900;12,1667;;;
140115;1000;12,3333;;;
140115;1100;12,3;;;
140115;1200;11,475;;;
140115;1300;11,9083;;;
140115;1400;12,1083;;;
140115;1500;11,8917;;;
140115;1600;11,1167;;;
140115;1700;10,4583;;;
140115;1800;9,4167;;;
140115;1900;9,28336;;;
140115;2000;10,1417;;;
140115;2100;9,88336;;;
140115;2200;9,57503;;;
140115;2300;10,0583;;;
140116;0000;10,3;;;
140116;0100;10,075;;;
140116;0200;9,42503;;;
140116;0300;9,2917;;;
140116;0400;8,7417;;;
140116;0500;7,98335;;;
140116;0600;7,68334;;;
140116;0700;7,80834;;;
140116;0800;7,95001;;;
140116;0900;7,83334;;;
140116;1000;7,40002;;;
140116;1100;6,78335;;;
140116;1200;6,58334;;;
140116;1300;6,24168;;;
140116;1400;6,18334;;;
140116;1500;6,01669;;;
140116;1600;6,15002;;;
140116;1700;5,81669;;;
140116;1800;6,05002;;;
140116;1900;5,85835;;;
140116;2000;5,26669;;;
140116;2100;5,37502;;;
140116;2200;4,32501;;;
140116;2300;4,76669;;;
140117;0000;4,84168;;;
140117;0100;5,16669;;;
140117;0200;5,30002;;;
140117;0300;5,30002;;;
140117;0400;5,65002;;;
140117;0500;5,75835;;;
140117;0600;4,99168;;;
140117;0700;5,33334;;;
140117;0800;5,72501;;;
140117;0900;5,56669;;;
140117;1000;5,54169;;;
140117;1100;5,38335;;;
140117;1200;6,25002;;;
140117;1300;5,38335;;;
140117;1400;4,56669;;;
140117;1500;3,83334;;;
140117;1600;3,95001;;;
140117;1700;3,62501;;;
140117;1800;4,29169;;;
140117;1900;4,31669;;;
140117;2000;4,56669;;;
140117;2100;2,45001;;;
140117;2200;2,04168;;;
140117;2300;3,91668;;;
140118;0000;5,10835;;;
140118;0100;5,48335;;;
140118;0200;10,2;;;
140118;0300;8,47504;;;
140118;0400;7,71668;;;
140118;0500;7,06669;;;
140118;0600;8,51671;;;
140118;0700;9,64171;;;
140118;0800;10,9167;;;
140118;0900;11,3917;;;
140118;1000;11,275;;;
140118;1100;11,6667;;;
140118;1200;11,675;;;
140118;1300;12,7167;;;
140118;1400;13,325;;;
140118;1500;13,975;;;
140118;1600;15;;;
140118;1700;13;;;
140118;1800;12,6583;;;
140118;1900;11,8583;;;
140118;2000;10,1417;;;
140118;2100;8,20836;;;
140118;2200;7,70834;;;
140118;2300;6,19169;;;
140119;0000;6,51669;;;
140119;0100;6,42502;;;
140119;0200;5,03335;;;
140119;0300;6,00002;;;
140119;0400;6,75002;;;
140119;0500;7,61668;;;
140119;0600;8,1167;;;
140119;0700;9,55836;;;
140119;0800;11,1833;;;
140119;0900;10,9917;;;
140119;1000;11,4333;;;
140119;1100;11,3917;;;
140119;1200;11,3;;;
140119;1300;11,4;;;
140119;1400;11,7833;;;
140119;1500;11,9667;;;
140119;1600;11,5083;;;
140119;1700;11,1417;;;
140119;1800;11,9167;;;
140119;1900;13,5;;;
140119;2000;13,8667;;;
140119;2100;11,7917;;;
140119;2200;10,75;;;
140119;2300;11,1083;;;
140120;0000;10,2167;;;
140120;0100;10,975;;;
140120;0200;11,3083;;;
140120;0300;10,025;;;
140120;0400;9,40002;;;
140120;0500;9,46671;;;
140120;0600;10,025;;;
140120;0700;11,575;;;
140120;0800;10,3583;;;
140120;0900;9,59171;;;
140120;1000;9,35004;;;
140120;1100;8,70003;;;
140120;1200;8,27502;;;
140120;1300;7,97501;;;
140120;1400;7,63335;;;
140120;1500;7,76669;;;
140120;1600;6,91113;;;
140120;1700;5,21252;;;
140120;1800;4,25002;;;
140120;1900;5,71668;;;
140120;2000;4,43334;;;
140120;2100;4,52502;;;
140120;2200;6,53335;;;
140120;2300;7,68334;;;
140121;0000;8,0417;;;
140121;0100;6,47501;;;
140121;0200;6,09168;;;
140121;0300;5,74168;;;
140121;0400;4,62502;;;
140121;0500;4,04169;;;
140121;0600;5,09168;;;
140121;0700;7,04169;;;
140121;0800;9,7417;;;
140121;0900;11,0167;;;
140121;1000;12,1167;;;
140121;1100;10,775;;;
140121;1200;10,1333;;;
140121;1300;11,8667;;;
140121;1400;11,15;;;
140121;1500;10,2333;;;
140121;1600;10,4083;;;
140121;1700;10,6917;;;
140121;1800;10,4667;;;
140121;1900;10,2083;;;
140121;2000;10,5167;;;
140121;2100;7,90835;;;
140121;2200;9,85837;;;
140121;2300;6,40002;;;
140122;0000;5,83334;;;
140122;0100;6,44169;;;
140122;0200;7,35835;;;
140122;0300;7,10001;;;
140122;0400;7,97501;;;
140122;0500;8,05003;;;
140122;0600;7,49168;;;
140122;0700;7,95001;;;
140122;0800;6,50002;;;
140122;0900;8,9917;;;
140122;1000;10,925;;;
140122;1100;10,225;;;
140122;1200;9,92503;;;
140122;1300;9,85837;;;
140122;1400;10,2333;;;
140122;1500;10,8417;;;
140122;1600;11,2583;;;
140122;1700;11,0417;;;
140122;1800;11,1333;;;
140122;1900;12,2417;;;
140122;2000;11,1583;;;
140122;2100;13,525;;;
140122;2200;5,19169;;;
140122;2300;8,68336;;;
140123;0000;7,70001;;;
140123;0100;3,56668;;;
140123;0200;3,35834;;;
140123;0300;3,30834;;;
140123;0400;4,02502;;;
140123;0500;5,54169;;;
140123;0600;5,05834;;;
140123;0700;6,48335;;;
140123;0800;7,83334;;;
140123;0900;8,18336;;;
140123;1000;8,10004;;;
140123;1100;8,18336;;;
140123;1200;8,62503;;;
140123;1300;8,78336;;;
140123;1400;8,60837;;;
140123;1500;8,76671;;;
140123;1600;7,31669;;;
140123;1700;10,6167;;;
140123;1800;10,1833;;;
140123;1900;17,9668;;;
140123;2000;10,0167;;;
140123;2100;11,725;;;
140123;2200;7,40002;;;
140123;2300;7,65835;;;
140124;0000;4,30834;;;
140124;0100;1,05;;;
140124;0200;2,18334;;;
140124;0300;2,35834;;;
140124;0400;2,88334;;;
140124;0500;5,06669;;;
140124;0600;5,25002;;;
140124;0700;3,57501;;;
140124;0800;5,76669;;;
140124;0900;7,30834;;;
140124;1000;7,78335;;;
140124;1100;8,10004;;;
140124;1200;8,21671;;;
140124;1300;7,37502;;;
140124;1400;7,60001;;;
140124;1500;7,27502;;;
140124;1600;7,43334;;;
140124;1700;6,35835;;;
140124;1800;6,80002;;;
140124;1900;7,29169;;;
140124;2000;7,81669;;;
140124;2100;6,67502;;;
140124;2200;7,33334;;;
140124;2300;7,22501;;;
140125;0000;6,11668;;;
140125;0100;5,72501;;;
140125;0200;3,66668;;;
140125;0300;4,03335;;;
140125;0400;5,05002;;;
140125;0500;5,51669;;;
140125;0600;6,46668;;;
140125;0700;6,19169;;;
140125;0800;6,41669;;;
140125;0900;6,47501;;;
140125;1000;7,18334;;;
140125;1100;7,29169;;;
140125;1200;7,41669;;;
140125;1300;7,63335;;;
140125;1400;8,98337;;;
140125;1500;8,55003;;;
140125;1600;7,61668;;;
140125;1700;7,70001;;;
140125;1800;8,18336;;;
140125;1900;8,77502;;;
140125;2000;8,85004;;;
140125;2100;8,25836;;;
140125;2200;7,90002;;;
140125;2300;7,58334;;;
140126;0000;7,56669;;;
140126;0100;7,27502;;;
140126;0200;6,95834;;;
140126;0300;6,96668;;;
140126;0400;6,70001;;;
140126;0500;6,56669;;;
140126;0600;6,63335;;;
140126;0700;6,42502;;;
140126;0800;6,44169;;;
140126;0900;6,45834;;;
140126;1000;6,99168;;;
140126;1100;9,98337;;;
140126;1200;9,18336;;;
140126;1300;7,22501;;;
140126;1400;5,91669;;;
140126;1500;5,02502;;;
140126;1600;5,66669;;;
140126;1700;5,73335;;;
140126;1800;5,81669;;;
140126;1900;5,32501;;;
140126;2000;5,66669;;;
140126;2100;7,10001;;;
140126;2200;6,70001;;;
140126;2300;6,91669;;;
140127;0000;6,52502;;;
140127;0100;6,63335;;;
140127;0200;7,20834;;;
140127;0300;7,31669;;;
140127;0400;7,41669;;;
140127;0500;8,40836;;;
140127;0600;8,72504;;;
140127;0700;7,85835;;;
140127;0800;9,65836;;;
140127;0900;10,7833;;;
140127;1000;9,6167;;;
140127;1100;9,9917;;;
140127;1200;10,9;;;
140127;1300;;;;
140127;1400;9,59171;;;
140127;1500;8,83336;;;
140127;1600;8,60004;;;
140127;1700;9,03336;;;
140127;1800;9,76671;;;
140127;1900;10,4167;;;
140127;2000;10,8667;;;
140127;2100;11,575;;;
140127;2200;11,9;;;
140127;2300;11,05;;;
140128;0000;10,4583;;;
140128;0100;10,375;;;
140128;0200;9,23337;;;
140128;0300;7,20834;;;
140128;0400;7,96668;;;
140128;0500;7,23335;;;
140128;0600;7,27502;;;
140128;0700;8,01671;;;
140128;0800;10,75;;;
140128;0900;10,5583;;;
140128;1000;10,9417;;;
140128;1100;11,35;;;
140128;1200;11,45;;;
140128;1300;10,2;;;
140128;1400;10,125;;;
140128;1500;10,0083;;;
140128;1600;8,90002;;;
140128;1700;9,58336;;;
140128;1800;8,01671;;;
140128;1900;7,78335;;;
140128;2000;8,25003;;;
140128;2100;7,75002;;;
140128;2200;7,08334;;;
140128;2300;7,10001;;;
140129;0000;6,94169;;;
140129;0100;6,90002;;;
140129;0200;6,72501;;;
140129;0300;6,47501;;;
140129;0400;6,03335;;;
140129;0500;5,57501;;;
140129;0600;4,29169;;;
140129;0700;4,81669;;;
140129;0800;3,96668;;;
140129;0900;4,04169;;;
140129;1000;4,00835;;;
140129;1100;3,50834;;;
140129;1200;4,40835;;;
140129;1300;4,30002;;;
140129;1400;5,31669;;;
140129;1500;3,84168;;;
140129;1600;3,62501;;;
140129;1700;7,28335;;;
140129;1800;6,68334;;;
140129;1900;6,75002;;;
140129;2000;5,82501;;;
140129;2100;3,69168;;;
140129;2200;3,79168;;;
140129;2300;4,20001;;;
140130;0000;5,21668;;;
140130;0100;4,70001;;;
140130;0200;5,22501;;;
140130;0300;4,92502;;;
140130;0400;5,05002;;;
140130;0500;5,84168;;;
140130;0600;6,38335;;;
140130;0700;8,64171;;;
140130;0800;8,3167;;;
140130;0900;8,55003;;;
140130;1000;8,50003;;;
140130;1100;8,50003;;;
140130;1200;9,07503;;;
140130;1300;9,14171;;;
140130;1400;9,47504;;;
140130;1500;9,05003;;;
140130;1600;8,58336;;;
140130;1700;8,10837;;;
140130;1800;7,78335;;;
140130;1900;8,12503;;;
140130;2000;7,25835;;;
140130;2100;8,09171;;;
140130;2200;7,73335;;;
140130;2300;7,58334;;;
140131;0000;7,29169;;;
140131;0100;7,16669;;;
140131;0200;7,03335;;;
140131;0300;6,70001;;;
140131;0400;7,41669;;;
140131;0500;7,22501;;;
140131;0600;7,39169;;;
140131;0700;7,42502;;;
140131;0800;8,35837;;;
140131;0900;8,70003;;;
140131;1000;8,45003;;;
140131;1100;8,14171;;;
140131;1200;8,25836;;;
140131;1300;8,55003;;;
140131;1400;9,09171;;;
140131;1500;7,92502;;;
140131;1600;8,34171;;;
140131;1700;7,84168;;;
140131;1800;7,13335;;;
140131;1900;8,5667;;;
140131;2000;7,23335;;;
140131;2100;8,70003;;;
140131;2200;7,97501;;;
140131;2300;8,80836;;;
140201;0000;8,70003;;;
140201;0100;9,30003;;;
140201;0200;9,00003;;;
140201;0300;9,40002;;;
140201;0400;9,80003;;;
140201;0500;9,40002;;;
140201;0600;8,90002;;;
140201;0700;8,80003;;;
140201;0800;9,60004;;;
140201;0900;10,7;;;
140201;1000;10,7;;;
140201;1100;8,70003;;;
140201;1200;9,40002;;;
140201;1300;9,10004;;;
140201;1400;8,60004;;;
140201;1500;8,50003;;;
140201;1600;8,20003;;;
140201;1700;9,10004;;;
140201;1800;9,10004;;;
140201;1900;9,70003;;;
140201;2000;8,80003;;;
140201;2100;10;;;
140201;2200;7,50002;;;
140201;2300;7,00002;;;
140202;0000;6,00002;;;
140202;0100;5,30002;;;
140202;0200;2,70001;;;
140202;0300;3,90001;;;
140202;0400;4,00002;;;
140202;0500;3,50001;;;
140202;0600;3,90001;;;
140202;0700;4,60001;;;
140202;0800;6,10001;;;
140202;0900;6,40002;;;
140202;1000;6,50002;;;
140202;1100;6,80002;;;
140202;1200;7,40002;;;
140202;1300;7,80002;;;
140202;1400;9,00003;;;
140202;1500;8,40002;;;
140202;1600;9,40002;;;
140202;1700;8,90002;;;
140202;1800;8,40002;;;
140202;1900;8,90002;;;
140202;2000;8,80003;;;
140202;2100;10,3;;;
140202;2200;8,00003;;;
140202;2300;7,20001;;;
140203;0000;7,10001;;;
140203;0100;6,30002;;;
140203;0200;6,00002;;;
140203;0300;6,10001;;;
140203;0400;6,30002;;;
140203;0500;4,90002;;;
140203;0600;6,10001;;;
140203;0700;5,70001;;;
140203;0800;6,50002;;;
140203;0900;6,90002;;;
140203;1000;7,80002;;;
140203;1100;7,60001;;;
140203;1200;7,80002;;;
140203;1300;7,90002;;;
140203;1400;6,80002;;;
140203;1500;7,10001;;;
140203;1600;6,90002;;;
140203;1700;6,50002;;;
140203;1800;5,40002;;;
140203;1900;6,00002;;;
140203;2000;4,50002;;;
140203;2100;5,20001;;;
140203;2200;6,60001;;;
140203;2300;5,00002;;;
140204;0000;6,00002;;;
140204;0100;4,70001;;;
140204;0200;5,20001;;;
140204;0300;4,50002;;;
140204;0400;3,40001;;;
140204;0500;5,00002;;;
140204;0600;1,9;;;
140204;0700;5,00002;;;
140204;0800;4,80002;;;
140204;0900;5,30002;;;
140204;1000;6,80002;;;
140204;1100;8,20003;;;
140204;1200;8,00003;;;
140204;1300;8,10004;;;
140204;1400;7,80002;;;
140204;1500;6,80002;;;
140204;1600;6,60001;;;
140204;1700;6,60001;;;
140204;1800;8,60004;;;
140204;1900;2,50001;;;
140204;2000;10,5;;;
140204;2100;7,80002;;;
140204;2200;9,80003;;;
140204;2300;6,30002;;;
140205;0000;8,00003;;;
140205;0100;7,40002;;;
140205;0200;6,40002;;;
140205;0300;6,50002;;;
140205;0400;5,60001;;;
140205;0500;6,30002;;;
140205;0600;7,20001;;;
140205;0700;7,00002;;;
140205;0800;7,20001;;;
140205;0900;8,20003;;;
140205;1000;7,70001;;;
140205;1100;7,70001;;;
140205;1200;8,10004;;;
140205;1300;7,70001;;;
140205;1400;7,80002;;;
140205;1500;8,20003;;;
140205;1600;8,60004;;;
140205;1700;9,00003;;;
140205;1800;8,80003;;;
140205;1900;9,70003;;;
140205;2000;9,10004;;;
140205;2100;10;;;
140205;2200;8,80003;;;
140205;2300;8,00003;;;
140206;0000;7,40002;;;
140206;0100;7,60001;;;
140206;0200;8,10004;;;
140206;0300;8,00003;;;
140206;0400;8,30003;;;
140206;0500;8,20003;;;
140206;0600;8,50003;;;
140206;0700;8,50003;;;
140206;0800;8,60004;;;
140206;0900;9,00003;;;
140206;1000;9,10004;;;
140206;1100;9,80003;;;
140206;1200;8,80003;;;
140206;1300;8,50003;;;
140206;1400;8,00003;;;
140206;1500;7,50002;;;
140206;1600;6,80002;;;
140206;1700;6,00002;;;
140206;1800;5,10001;;;
140206;1900;7,40002;;;
140206;2000;7,20001;;;
140206;2100;7,70001;;;
140206;2200;6,80002;;;
140206;2300;6,50002;;;
140207;0000;7,60001;;;
140207;0100;8,40002;;;
140207;0200;8,00003;;;
140207;0300;7,90002;;;
140207;0400;7,70001;;;
140207;0500;7,70001;;;
140207;0600;8,10004;;;
140207;0700;6,40002;;;
140207;0800;6,70001;;;
140207;0900;6,80002;;;
140207;1000;6,90002;;;
140207;1100;7,70001;;;
140207;1200;7,10001;;;
140207;1300;7,00002;;;
140207;1400;7,30002;;;
140207;1500;7,10001;;;
140207;1600;7,70001;;;
140207;1700;9,10004;;;
140207;1800;9,00003;;;
140207;1900;7,50002;;;
140207;2000;8,50003;;;
140207;2100;6,60001;;;
140207;2200;5,50002;;;
140207;2300;5,80002;;;
140208;0000;5,90002;;;
140208;0100;7,70001;;;
140208;0200;9,60004;;;
140208;0300;9,70003;;;
140208;0400;9,10004;;;
140208;0500;7,90002;;;
140208;0600;7,20001;;;
140208;0700;6,50002;;;
140208;0800;6,90002;;;
140208;0900;7,60001;;;
140208;1000;8,30003;;;
140208;1100;7,90002;;;
140208;1200;7,50002;;;
140208;1300;7,40002;;;
140208;1400;7,20001;;;
140208;1500;6,90002;;;
140208;1600;7,10001;;;
140208;1700;8,40002;;;
140208;1800;8,90002;;;
140208;1900;9,40002;;;
140208;2000;10,1;;;
140208;2100;9,40002;;;
140208;2200;9,00003;;;
140208;2300;8,60004;;;
140209;0000;7,90002;;;
140209;0100;7,40002;;;
140209;0200;7,20001;;;
140209;0300;7,00002;;;
140209;0400;7,20001;;;
140209;0500;7,70001;;;
140209;0600;8,40002;;;
140209;0700;8,80003;;;
140209;0800;9,20003;;;
140209;0900;9,50003;;;
140209;1000;9,70003;;;
140209;1100;9,80003;;;
140209;1200;8,70003;;;
140209;1300;8,20003;;;
140209;1400;8,40002;;;
140209;1500;8,30003;;;
140209;1600;8,20003;;;
140209;1700;8,20003;;;
140209;1800;8,80003;;;
140209;1900;8,80003;;;
140209;2000;8,50003;;;
140209;2100;6,80002;;;
