FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130911;1100;66;;;
130911;1200;50;;;
130911;1300;81;;;
130911;1400;80;;;
130911;1500;58;;;
130911;1600;67;;;
130911;1700;167;;;
130911;1800;136;;;
130911;1900;186;;;
130911;2000;125;;;
130911;2100;126;;;
130911;2200;203;;;
130911;2300;104;;;
130912;0000;98;;;
130912;0100;110;;;
130912;0200;100;;;
130912;0300;41;;;
130912;0400;73;;;
130912;0500;118;;;
130912;0600;335;;;
130912;0700;280;;;
130912;0800;69;;;
130912;0900;35;;;
130912;1000;48;;;
130912;1100;35;;;
130912;1200;41;;;
130912;1300;34;;;
130912;1400;46;;;
130912;1500;52;;;
130912;1600;80;;;
130912;1700;89;;;
130912;1800;112;;;
130912;1900;93;;;
130912;2000;204;;;
130912;2100;246;;;
130912;2200;415;;;
130912;2300;478;;;
130913;0000;357;;;
130913;0100;233;;;
130913;0200;191;;;
130913;0300;184;;;
130913;0400;115;;;
130913;0500;184;;;
130913;0600;328;;;
130913;0700;402;;;
130913;0800;72;;;
130913;0900;85;;;
130913;1000;65;;;
130913;1100;57;;;
130913;1200;51;;;
130913;1300;37;;;
130913;1400;35;;;
130913;1500;40;;;
130913;1600;49;;;
130913;1700;100;;;
130913;1800;235;;;
130913;1900;318;;;
130913;2000;436;;;
130913;2100;553;;;
130913;2200;633;;;
130913;2300;305;;;
130914;0000;271;;;
130914;0100;387;;;
130914;0200;289;;;
130914;0300;334;;;
130914;0400;205;;;
130914;0500;279;;;
130914;0600;303;;;
130914;0700;379;;;
130914;0800;117;;;
130914;0900;126;;;
130914;1000;112;;;
130914;1100;88;;;
130914;1200;70;;;
130914;1300;54;;;
130914;1400;53;;;
130914;1500;61;;;
130914;1600;49;;;
130914;1700;67;;;
130914;1800;136;;;
130914;1900;374;;;
130914;2000;371;;;
130914;2100;499;;;
130914;2200;452;;;
130914;2300;549;;;
130915;0000;490;;;
130915;0100;406;;;
130915;0200;386;;;
130915;0300;327;;;
130915;0400;296;;;
130915;0500;292;;;
130915;0600;173;;;
130915;0700;229;;;
130915;0800;146;;;
130915;0900;95;;;
130915;1000;91;;;
130915;1100;56;;;
130915;1200;49;;;
130915;1300;47;;;
130915;1400;27;;;
130915;1500;30;;;
130915;1600;37;;;
130915;1700;58;;;
130915;1800;201;;;
130915;1900;390;;;
130915;2000;442;;;
130915;2100;636;;;
130915;2200;520;;;
130915;2300;360;;;
130916;0000;323;;;
130916;0100;247;;;
130916;0200;223;;;
130916;0300;165;;;
130916;0400;176;;;
130916;0500;208;;;
130916;0600;285;;;
130916;0700;222;;;
130916;0800;108;;;
130916;0900;88;;;
130916;1000;101;;;
130916;1100;58;;;
130916;1200;58;;;
130916;1300;59;;;
130916;1400;65;;;
130916;1500;97;;;
130916;1600;91;;;
130916;1700;66;;;
130916;1800;68;;;
130916;1900;89;;;
130916;2000;125;;;
130916;2100;135;;;
130916;2200;103;;;
130916;2300;78;;;
130917;0000;51;;;
130917;0100;42;;;
130917;0200;27;;;
130917;0300;25;;;
130917;0400;18;;;
130917;0500;17;;;
130917;0600;49;;;
130917;0700;87;;;
130917;0800;61;;;
130917;0900;70;;;
130917;1000;56;;;
130917;1100;39;;;
130917;1200;49;;;
130917;1300;54;;;
130917;1400;69;;;
130917;1500;90;;;
130917;1600;79;;;
130917;1700;64;;;
130917;1800;84;;;
130917;1900;72;;;
130917;2000;87;;;
130917;2100;83;;;
130917;2200;64;;;
130917;2300;198;;;
130918;0000;226;;;
130918;0100;75;;;
130918;0200;49;;;
130918;0300;19;;;
130918;0400;27;;;
130918;0500;47;;;
130918;0600;37;;;
130918;0700;31;;;
130918;0800;49;;;
130918;0900;41;;;
130918;1000;47;;;
130918;1100;55;;;
130918;1200;36;;;
130918;1300;46;;;
130918;1400;59;;;
130918;1500;61;;;
130918;1600;56;;;
130918;1700;48;;;
130918;1800;65;;;
130918;1900;66;;;
130918;2000;80;;;
130918;2100;69;;;
130918;2200;59;;;
130918;2300;41;;;
130919;0000;28;;;
130919;0100;15;;;
130919;0200;16;;;
130919;0300;12;;;
130919;0400;14;;;
130919;0500;30;;;
130919;0600;65;;;
130919;0700;36;;;
130919;0800;25;;;
130919;0900;34;;;
130919;1000;38;;;
130919;1100;38;;;
130919;1200;40;;;
130919;1300;28;;;
130919;1400;25;;;
130919;1500;24;;;
130919;1600;25;;;
130919;1700;32;;;
130919;1800;42;;;
130919;1900;38;;;
130919;2000;47;;;
130919;2100;61;;;
130919;2200;45;;;
130919;2300;126;;;
130920;0000;113;;;
130920;0100;29;;;
130920;0200;21;;;
130920;0300;20;;;
130920;0400;36;;;
130920;0500;11;;;
130920;0600;27;;;
130920;0700;30;;;
130920;0800;49;;;
130920;0900;61;;;
130920;1000;48;;;
130920;1100;44;;;
130920;1200;44;;;
130920;1300;33;;;
130920;1400;32;;;
130920;1500;29;;;
130920;1600;58;;;
130920;1700;64;;;
130920;1800;85;;;
130920;1900;103;;;
130920;2000;78;;;
130920;2100;125;;;
130920;2200;79;;;
130920;2300;51;;;
130921;0000;58;;;
130921;0100;34;;;
130921;0200;63;;;
130921;0300;24;;;
130921;0400;84;;;
130921;0500;55;;;
130921;0600;68;;;
130921;0700;38;;;
130921;0800;31;;;
130921;0900;29;;;
130921;1000;28;;;
130921;1100;37;;;
130921;1200;40;;;
130921;1300;35;;;
130921;1400;45;;;
130921;1500;41;;;
130921;1600;35;;;
130921;1700;45;;;
130921;1800;85;;;
130921;1900;114;;;
130921;2000;154;;;
130921;2100;223;;;
130921;2200;195;;;
130921;2300;196;;;
130922;0000;238;;;
130922;0100;218;;;
130922;0200;177;;;
130922;0300;70;;;
130922;0400;165;;;
130922;0500;137;;;
130922;0600;80;;;
130922;0700;66;;;
130922;0800;34;;;
130922;0900;43;;;
130922;1000;22;;;
130922;1100;28;;;
130922;1200;25;;;
130922;1300;23;;;
130922;1400;25;;;
130922;1500;43;;;
130922;1600;34;;;
130922;1700;39;;;
130922;1800;116;;;
130922;1900;183;;;
130922;2000;119;;;
130922;2100;137;;;
130922;2200;293;;;
130922;2300;153;;;
130923;0000;207;;;
130923;0100;164;;;
130923;0200;110;;;
130923;0300;36;;;
130923;0400;26;;;
130923;0500;79;;;
130923;0600;196;;;
130923;0700;107;;;
130923;0800;37;;;
130923;0900;46;;;
130923;1000;56;;;
130923;1100;49;;;
130923;1200;41;;;
130923;1300;40;;;
130923;1400;45;;;
130923;1500;47;;;
130923;1600;54;;;
130923;1700;72;;;
130923;1800;86;;;
130923;1900;105;;;
130923;2000;107;;;
130923;2100;228;;;
130923;2200;364;;;
130923;2300;227;;;
130924;0000;287;;;
130924;0100;117;;;
130924;0200;210;;;
130924;0300;179;;;
130924;0400;111;;;
130924;0500;179;;;
130924;0600;284;;;
130924;0700;227;;;
130924;0800;165;;;
130924;0900;97;;;
130924;1000;71;;;
130924;1100;64;;;
130924;1200;63;;;
130924;1300;47;;;
130924;1400;49;;;
130924;1500;51;;;
130924;1600;56;;;
130924;1700;81;;;
130924;1800;196;;;
130924;1900;452;;;
130924;2000;572;;;
130924;2100;535;;;
130924;2200;432;;;
130924;2300;309;;;
130925;0000;229;;;
130925;0100;155;;;
130925;0200;82;;;
130925;0300;141;;;
130925;0400;99;;;
130925;0500;161;;;
130925;0600;284;;;
130925;0700;272;;;
130925;0800;114;;;
130925;0900;41;;;
130925;1000;25;;;
130925;1100;37;;;
130925;1200;70;;;
130925;1300;94;;;
130925;1400;78;;;
130925;1500;47;;;
130925;1600;37;;;
130925;1700;54;;;
130925;1800;67;;;
130925;1900;54;;;
130925;2000;54;;;
130925;2100;49;;;
130925;2200;63;;;
130925;2300;82;;;
130926;0000;77;;;
130926;0100;35;;;
130926;0200;37;;;
130926;0300;18;;;
130926;0400;17;;;
130926;0500;39;;;
130926;0600;131;;;
130926;0700;172;;;
130926;0800;107;;;
130926;0900;56;;;
130926;1000;43;;;
130926;1100;34;;;
130926;1200;34;;;
130926;1300;38;;;
130926;1400;39;;;
130926;1500;52;;;
130926;1600;65;;;
130926;1700;71;;;
130926;1800;88;;;
130926;1900;103;;;
130926;2000;335;;;
130926;2100;411;;;
130926;2200;331;;;
130926;2300;270;;;
130927;0000;302;;;
130927;0100;320;;;
130927;0200;200;;;
130927;0300;152;;;
130927;0400;90;;;
130927;0500;151;;;
130927;0600;352;;;
